end_rounds,n_players,result,winner,iter
10,3,set,B,937
17,3,set,A,938
8,3,set,A,939
3,3,set,B,940
11,3,set,B,941
10,3,set,B,942
15,3,set,B,943
6,3,set,B,944
16,3,tie,,945
23,3,set,C,946
7,3,set,A,947
4,3,tie,,948
1,3,tie,,949
6,3,set,B,950
8,3,set,C,951
6,3,tie,,952
33,3,set,C,953
23,3,set,B,954
6,3,tie,,955
17,3,set,B,956
10,3,set,A,957
5,3,set,A,958
8,3,set,A,959
20,3,set,A,960
6,3,set,C,961
4,3,set,B,962
14,3,set,A,963
36,3,set,A,964
4,3,set,A,965
7,3,set,B,966
3,3,set,B,967
11,3,set,C,968
30,3,set,B,969
17,3,set,A,970
27,3,set,A,971
27,3,set,C,972
3,3,set,A,973
3,3,set,B,974
11,3,set,A,975
3,3,tie,,976
19,3,set,C,977
5,3,set,A,978
22,3,set,A,979
2,3,set,A,980
10,3,set,C,981
4,3,set,A,982
9,3,set,A,983
20,3,set,C,984
5,3,set,A,985
2,3,set,A,986
7,3,set,B,987
25,3,set,B,988
13,3,set,A,989
2,3,set,A,990
18,3,set,C,991
5,3,set,C,992
55,3,set,A,993
4,3,set,A,994
22,3,set,A,995
8,3,set,B,996
2,3,set,B,997
17,3,set,B,998
4,3,set,C,999
7,3,set,A,1000
11,3,set,B,1001
5,3,set,A,1002
17,3,set,C,1003
37,3,set,A,1004
3,3,set,B,1005
10,3,set,A,1006
14,3,set,C,1007
5,3,set,B,1008
6,3,set,B,1009
21,3,set,A,1010
14,3,set,C,1011
3,3,set,A,1012
22,3,set,B,1013
4,3,set,C,1014
21,3,set,C,1015
20,3,set,C,1016
11,3,set,B,1017
19,3,set,B,1018
6,3,set,A,1019
13,3,set,A,1020
29,3,tie,,1021
16,3,set,C,1022
3,3,set,C,1023
8,3,set,C,1024
8,3,set,A,1025
5,3,set,A,1026
4,3,set,A,1027
7,3,set,C,1028
5,3,set,C,1029
17,3,tie,,1030
11,3,set,C,1031
8,3,set,A,1032
12,3,set,C,1033
2,3,set,C,1034
9,3,set,C,1035
13,3,set,A,1036
16,3,set,B,1037
7,3,set,A,1038
17,3,set,A,1039
16,3,set,B,1040
2,3,set,A,1041
31,3,set,B,1042
10,3,set,C,1043
13,3,set,C,1044
10,3,set,A,1045
12,3,set,B,1046
14,3,set,C,1047
5,3,set,C,1048
18,3,set,C,1049
5,3,set,C,1050
21,3,set,C,1051
7,3,set,C,1052
12,3,set,B,1053
3,3,set,C,1054
3,3,set,C,1055
5,3,set,B,1056
8,3,set,B,1057
29,3,set,A,1058
18,3,set,B,1059
22,3,set,C,1060
3,3,set,C,1061
30,3,set,A,1062
6,3,tie,,1063
2,3,set,C,1064
12,3,set,B,1065
22,3,set,C,1066
6,3,set,C,1067
18,3,set,C,1068
12,3,set,B,1069
7,3,set,C,1070
11,3,set,B,1071
10,3,set,A,1072
